ID,Age,Sex,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
92,35,A,10,29,94105,4,1.1,3,0,0,0,1,0,0
93,43,B,19,34,94305,3,0.6,2,0,0,0,0,0,0
94,60,A,34,64,94550,2,1.7,3,236,1,0,1,0,0
95,65,B,39,121,92612,1,2,1,0,0,0,0,0,0
96,38,B,12,48,95617,4,0.2,3,0,0,0,1,0,0
97,41,A,15,80,95014,1,5.2,1,0,0,0,0,0,0
98,54,B,28,161,92121,1,2.9,1,0,0,0,1,0,0
99,49,B,23,94,92374,1,0.3,1,0,0,0,1,0,0
100,66,B,41,15,91711,3,0.1,3,0,0,0,1,0,0
101,48,A,23,74,94080,1,1.2,1,0,0,0,1,0,0
102,61,A,36,30,94608,3,1.3,2,0,0,0,0,0,0
103,53,A,23,44,93555,3,1,3,198,0,0,1,1,0
104,43,B,18,22,95670,2,0.3,2,0,0,0,1,0,0
105,56,A,32,38,93311,4,1.3,1,166,0,0,1,1,0
106,24,A,0,35,94704,3,0.1,2,0,1,0,1,0,0
107,43,B,17,69,92717,4,2.9,1,0,0,0,1,1,0
108,42,B,18,43,92037,1,0.7,1,136,0,0,0,0,0
109,33,B,7,32,95136,1,0.6,3,166,0,0,1,0,0
110,43,B,17,49,94542,1,2.8,,0,0,0,1,0,0
111,41,A,14,9,91330,3,1,2,0,0,0,0,0,0
112,62,A,38,45,94143,4,1.3,2,0,0,0,1,0,0
113,40,B,15,82,91775,3,1,1,309,0,0,0,0,0
114,58,A,34,92,92703,2,2.8,1,103,0,0,0,0,0
115,39,B,14,39,92354,3,0.5,3,0,0,0,1,0,0
116,65,A,40,81,92024,3,1.8,2,0,0,0,1,0,0
117,54,A,29,35,92831,1,1.5,2,0,0,0,1,0,0
118,58,B,33,61,92833,2,2.3,3,193,0,0,1,0,0
119,41,A,16,73,92647,3,3,1,0,0,0,1,0,0
120,32,A,7,112,94304,1,4.6,1,366,0,0,0,0,0
121,54,A,29,12,90057,2,0.2,3,0,0,0,1,0,0
122,52,A,26,38,91711,3,0.9,3,0,0,0,1,0,0
123,58,A,32,73,94523,2,0.7,2,0,0,0,1,1,0
124,37,B,13,84,92130,1,3.6,2,0,1,0,0,0,0
125,39,B,15,78,92121,4,2.4,1,118,0,0,1,0,0
126,60,B,35,80,91301,3,0.5,1,0,0,0,1,0,0
127,31,B,5,115,92096,2,1.3,1,101,0,0,1,1,0
128,34,B,8,82,92646,1,2.7,2,251,0,0,1,0,0
129,38,B,14,74,92182,2,0,1,0,1,0,1,0,0
130,41,A,16,70,92131,3,0.5,3,0,0,0,0,1,0
131,28,A,4,81,94801,3,1.5,1,276,0,0,1,0,0
132,58,B,34,149,93720,4,7.2,2,0,0,1,1,1,1
133,31,A,1,51,90840,2,1.75,3,0,0,0,0,0,0
134,30,A,4,39,90245,3,1.1,2,0,0,0,1,0,0
135,53,A,29,98,95035,3,1.8,2,0,0,0,0,0,0
136,58,B,33,45,93010,4,2.1,1,0,0,0,1,1,0
137,59,B,32,49,95035,4,2.5,2,0,0,0,1,0,0
138,49,A,25,128,95054,2,0.4,1,0,0,0,0,0,0
139,59,B,34,42,94928,3,1.5,1,0,1,1,0,1,0
140,59,B,35,18,93305,1,1.2,3,0,0,0,1,0,0
141,51,A,25,31,90245,2,0.4,3,161,0,0,1,1,0
142,35,B,11,58,95831,3,2,1,149,0,0,1,1,0
143,33,A,9,48,91770,1,2.1,3,0,0,0,0,1,0
144,25,B,1,54,94117,4,1.6,1,0,0,0,1,1,0
145,49,A,23,70,92093,2,1.5,2,0,0,0,0,0,0
146,59,A,35,124,90007,1,7.4,1,0,0,0,0,1,0
147,46,B,19,84,94102,1,2.67,2,0,0,0,1,1,0
148,50,B,25,83,94542,4,3.6,3,188,0,0,1,0,0
149,52,B,28,163,91423,2,0.4,1,116,0,0,1,0,0
150,48,A,22,42,93955,3,2.2,2,0,0,0,0,0,0
151,46,B,22,118,94107,2,7.5,1,0,0,1,1,1,0
152,26,B,0,132,92834,3,6.5,3,0,0,0,0,1,1
153,57,A,32,24,93117,1,1.3,1,0,0,0,1,1,0
154,60,A,36,22,94551,2,1,1,0,1,1,1,1,0
155,54,A,29,58,92612,4,1.3,3,0,0,0,0,0,0
156,24,A,0,60,94596,4,1.6,1,0,0,0,1,0,0
157,26,A,0,15,92131,4,0.4,1,0,0,0,0,1,0
158,41,A,17,83,94025,4,2.67,1,0,0,0,1,1,0
159,32,A,6,79,94720,2,1.5,3,0,0,0,1,1,0
160,61,A,35,41,94545,4,1.7,2,0,1,0,1,0,0
161,29,B,0,134,95819,4,6.5,3,0,0,0,0,0,1
162,61,A,35,80,95053,2,2.8,1,0,0,0,1,0,0
163,38,A,12,52,90036,1,2,1,0,0,0,0,0,0
164,28,A,4,70,91125,4,2.6,1,0,0,0,1,0,0
165,53,A,27,92,95120,2,1.1,1,0,1,0,0,0,0
166,27,A,1,43,94706,1,1.5,1,0,0,0,1,0,0
167,25,A,1,21,95827,3,1,2,0,0,0,0,0,0
168,33,B,9,23,94305,3,0.9,3,0,0,0,1,1,0
169,50,A,26,13,91320,4,1,1,0,0,0,1,0,0
170,27,A,1,112,90503,4,2.1,3,0,0,0,0,1,0
171,27,A,1,138,90250,2,2,1,0,0,0,1,0,0
172,52,B,28,11,95817,3,0.4,1,0,1,0,0,0,0
173,38,B,13,171,92717,2,7.8,1,0,0,0,1,0,0
174,58,A,34,42,90095,4,1.5,1,0,0,0,1,1,0
175,42,B,17,168,95503,2,7.9,2,0,0,0,1,0,1
176,45,A,20,85,91711,4,1.1,2,0,1,0,1,0,0
177,52,A,25,44,93111,3,1,2,135,0,0,1,0,0
178,29,A,3,65,94132,4,1.8,2,244,0,0,0,0,0
179,53,B,29,24,95818,4,0.2,1,0,0,0,1,1,0
180,62,B,37,11,91942,1,0.1,1,0,0,0,1,0,0
181,51,B,27,38,90401,2,1,3,164,0,0,1,0,0
182,36,B,12,10,93524,4,0.7,2,81,0,0,0,0,0
183,24,B,0,135,95133,1,1.5,1,0,0,0,1,0,0
184,29,B,3,148,92173,3,4.1,1,0,0,0,1,0,1
185,52,B,26,63,92717,2,1.5,2,0,1,0,1,0,0
186,39,B,14,115,91320,1,1,3,0,0,0,1,0,0
187,48,B,23,45,95616,1,0.3,1,0,0,0,1,1,0
188,46,B,21,159,94305,3,1.9,3,315,0,0,1,0,1
189,64,A,40,169,91320,2,2.1,1,122,0,0,1,0,0
190,55,B,29,112,94043,2,1.4,1,0,0,0,1,0,0
191,60,A,36,93,92521,1,4.3,1,0,0,0,1,0,0
192,51,A,25,29,90404,1,0.3,3,140,0,0,0,0,0
193,50,A,23,85,92122,1,2.67,2,0,0,0,1,0,0
194,48,B,24,21,93118,4,0.6,1,0,0,0,1,1,0
195,53,B,29,144,92697,2,6.8,1,0,0,0,1,0,0
196,34,A,10,13,94577,4,1,1,95,1,0,1,0,0
197,48,A,24,165,93407,1,5,1,0,0,0,0,1,0
198,55,A,31,9,91345,4,0.7,1,89,0,0,1,0,0
199,27,A,3,59,94123,4,0,1,90,1,0,1,0,0
200,36,B,11,158,92152,1,5.1,3,0,0,1,1,1,1
201,32,B,6,29,91355,1,1.9,3,0,0,0,1,1,0
202,35,B,9,20,94609,2,1.4,3,0,0,0,1,1,0
203,30,A,3,68,94306,4,2,2,0,0,0,1,0,0
204,58,B,34,65,95747,4,2.2,1,0,0,0,1,0,0
205,56,B,31,61,96150,2,1.9,2,105,0,0,0,0,0
206,38,A,12,91,95616,4,1.4,2,100,0,0,0,1,0
207,49,B,25,31,91355,1,1,1,0,1,0,1,0,0
208,34,A,10,71,94115,4,0.1,2,0,0,0,0,0,0
209,40,B,16,73,94110,4,2.67,1,0,0,0,1,1,0
210,64,A,39,172,94707,4,3.1,1,282,0,1,1,1,1
211,51,A,26,20,92131,2,0,1,0,0,0,0,0,0
212,44,B,18,55,94720,1,0.2,1,0,0,0,0,0,0
213,46,A,22,69,91604,2,1.7,1,209,0,0,0,0,0
214,57,A,33,155,91326,1,7.4,1,0,0,0,1,0,0
215,54,A,28,94,90291,1,1.9,2,0,0,0,0,0,0
216,38,B,14,92,95818,2,0,1,249,0,0,1,1,0
217,27,B,3,125,95521,2,0.6,1,0,0,0,0,0,0
218,39,B,14,74,94305,3,3,1,0,0,0,0,0,0
219,44,B,20,72,92807,3,0.3,3,0,0,0,1,0,0
220,56,B,30,61,94707,1,2.2,3,0,0,0,1,1,0
221,32,A,6,25,92130,2,0.3,1,0,0,0,0,1,0
222,45,A,19,83,95051,2,1.7,2,0,0,0,1,0,0
223,26,B,2,104,94306,3,2.5,1,0,0,0,0,0,0
224,55,B,25,41,95014,3,1,3,0,0,0,1,0,0
225,52,A,27,58,94305,4,1.8,3,91,0,0,0,0,0
226,39,B,13,93,94720,1,1.5,3,0,0,0,0,1,0
227,24,A,-1,39,94085,2,1.7,2,0,0,0,0,0,0
228,,B,23,148,94551,2,7.5,1,0,0,1,1,1,0
229,47,B,22,53,92677,4,1.9,3,98,1,1,0,1,0
230,48,B,24,71,93117,2,1.7,1,145,0,0,0,1,0
231,47,A,22,92,94720,1,2.8,2,0,0,0,1,0,0
232,35,B,10,61,94304,4,2.1,3,0,0,0,1,0,0
233,46,B,19,38,94122,3,2.5,2,135,0,0,0,0,0
234,62,B,37,58,91320,4,1.7,1,0,0,0,1,0,0
235,26,B,1,80,95616,1,0.8,2,150,0,0,0,0,0
236,38,B,8,71,94720,4,1.8,3,0,0,0,1,0,0
237,43,B,18,89,93407,3,0.5,3,0,0,0,1,1,0
238,62,A,38,83,92521,1,1.8,3,0,0,0,1,0,0
239,57,A,32,28,95831,3,0.2,1,0,0,0,1,1,0
240,28,A,3,52,94112,4,1.7,2,0,0,0,0,0,0
241,51,A,26,70,90089,1,1.2,1,169,0,0,0,0,0
242,48,A,22,71,91711,1,1.4,3,0,0,0,0,1,0
243,41,A,16,75,94005,1,3.7,3,280,0,0,0,0,0
244,65,B,39,170,90095,3,7.9,3,99,0,1,1,0,1
245,41,A,17,78,94025,4,0.8,1,78,0,0,1,0,0
246,35,A,11,25,92614,2,1,2,0,0,0,0,0,0
247,38,A,14,60,94025,2,0.6,3,0,0,0,1,1,0
248,,A,29,120,92626,4,2.7,2,111,1,1,1,0,1
249,55,B,29,99,92121,2,1.4,1,264,0,0,1,1,0
250,26,B,1,55,90089,3,2.6,3,113,0,0,0,1,0
251,30,B,6,29,94305,3,1,2,117,0,0,0,0,0
252,54,A,28,170,92182,2,6.2,2,325,0,0,1,0,1
253,65,A,40,53,91711,3,2.2,1,0,0,0,0,1,0
254,47,B,21,138,94583,1,0,1,0,0,0,0,0,0
255,65,A,41,134,91942,3,3.9,3,121,0,0,1,0,1
256,66,A,40,42,92103,2,0.7,3,138,0,0,0,1,0
257,26,A,0,99,92697,4,2.3,3,0,0,0,0,1,0
258,66,B,41,18,92691,3,0.5,1,0,0,0,0,1,0
259,35,B,9,24,95747,4,0.3,1,0,0,0,1,0,0
260,56,B,30,55,94107,1,1.4,1,77,0,0,1,0,0
261,51,A,27,58,92407,1,0,1,0,0,0,0,1,0
262,42,A,16,111,93106,2,1.2,3,251,0,0,1,0,1
263,49,B,23,33,90245,1,0.3,3,0,0,1,1,1,0
264,27,A,1,74,92121,4,1.8,2,112,0,0,1,1,0
265,45,B,19,38,90840,2,0.7,1,0,0,0,0,0,0
266,49,A,23,23,94305,4,0.6,3,98,1,0,0,0,0
267,63,A,38,61,94720,2,1.5,1,0,0,0,1,0,0
268,47,B,22,81,90504,1,2.9,1,138,0,0,0,0,0
269,64,B,39,129,94002,1,2.5,1,0,0,0,1,0,0
270,43,B,13,33,95039,1,0.75,3,0,0,0,0,0,0
271,60,A,36,63,94063,4,2.2,1,0,0,0,1,0,0
272,40,A,14,70,94923,4,1.4,2,0,0,0,1,0,0
273,29,A,3,45,95023,4,0.2,1,158,0,0,1,1,0
274,41,B,16,65,90095,3,0.5,3,0,0,0,1,0,0
275,30,A,5,74,95616,4,2.2,1,0,1,0,0,1,0
276,49,A,24,50,94706,4,1.8,3,0,1,0,0,0,0
277,30,B,5,22,90058,4,0.5,3,109,0,0,1,0,0
278,29,A,2,30,92126,4,1,3,0,0,0,0,0,0
279,50,B,26,21,91125,4,1,1,0,0,0,1,0,0
280,39,A,14,155,94577,2,3.9,1,0,0,0,1,0,0
281,33,B,8,64,92121,4,2.1,3,164,0,0,1,0,0
282,57,B,31,65,94118,4,2.6,3,0,0,0,0,1,0
283,34,B,9,71,91711,4,0.7,3,0,0,0,1,0,0
284,61,A,36,40,90029,3,0.5,2,0,1,0,1,0,0
285,44,B,19,69,92806,3,0.5,3,0,0,0,1,0,0
286,40,A,13,69,94305,3,2.33,2,0,0,0,0,0,0
287,51,B,25,45,94806,3,0.6,2,131,0,0,1,0,0
288,37,A,12,62,92110,3,0.7,2,0,0,0,0,1,0
289,44,B,19,172,94306,2,4.3,3,391,1,1,1,0,1
290,42,B,15,24,92121,3,1,2,0,0,0,1,1,0
291,51,A,25,80,92373,1,4.9,1,0,0,0,0,0,0
292,43,A,16,8,90089,3,0.67,2,88,0,0,1,0,0
293,30,A,5,38,94542,4,0.8,1,129,0,0,1,1,0
294,45,A,19,93,90095,4,2.6,3,0,0,0,0,0,0
295,35,A,9,55,94536,1,2,1,0,0,0,1,0,0
296,60,A,34,64,94304,2,1.7,3,0,0,0,0,1,0
297,34,A,9,122,90623,1,0,1,0,0,0,1,0,0
298,55,A,25,70,93720,3,1.4,3,0,0,0,1,0,0
299,43,A,19,81,92069,2,3.2,1,0,0,0,0,0,0
300,41,B,15,159,90057,1,5.5,3,0,0,1,1,0,1
301,34,A,9,70,92843,4,1.3,1,0,1,0,0,0,0
302,65,B,39,150,92120,2,6.9,1,196,0,0,0,0,0
303,45,B,21,152,94550,2,7.5,1,0,0,0,1,0,0
304,49,A,25,195,95605,4,3,1,617,0,0,0,0,1
305,48,A,23,22,90740,1,0.1,1,0,0,0,0,0,0
306,60,A,35,22,91207,1,1.3,1,123,0,0,1,0,0
307,55,A,29,79,92373,3,0.8,1,0,0,0,1,1,0
308,42,B,18,33,90401,1,1.4,3,0,0,0,1,0,0
309,32,A,8,128,94720,2,4.33,1,0,0,1,1,1,0
310,62,B,38,91,95929,1,3.8,1,0,1,0,1,0,0
311,57,A,32,39,90277,4,0.9,1,0,0,0,1,1,0
312,52,B,26,121,94550,1,7.3,1,167,0,0,1,0,0
313,36,A,6,21,91741,1,0.67,3,0,1,0,1,0,0
314,34,B,9,41,93720,3,2.3,1,0,0,0,0,1,0
315,63,A,37,45,93437,2,0.7,3,0,0,0,1,0,0
316,24,A,-2,51,90630,3,0.3,3,0,0,0,1,0,0
317,57,B,31,165,95054,1,1.6,2,0,0,0,1,0,1
318,40,A,16,119,91335,2,4.2,2,0,0,0,1,0,1
319,27,A,2,110,95670,4,1.8,3,190,0,0,1,0,0
320,65,A,39,20,90034,3,0.7,2,0,0,0,0,1,0
321,60,B,34,64,90266,1,0.8,2,248,0,0,0,0,0
322,44,B,20,101,92717,3,4.4,2,82,0,0,0,0,1
323,63,B,39,101,92007,1,3.9,1,0,1,1,1,0,1
324,59,A,34,99,90034,1,4.4,1,0,0,0,0,0,1
325,56,B,30,158,90089,4,6.1,1,0,0,0,0,0,1
326,54,A,28,89,95039,1,1.9,2,0,0,0,1,1,0
327,52,A,27,80,95616,1,1.3,3,0,0,1,1,1,0
328,58,B,32,114,91330,2,2,1,402,0,0,1,0,0
329,60,A,35,49,94110,3,0.5,2,0,0,0,1,1,0
330,28,A,4,191,90064,1,6.33,1,0,0,0,1,0,0
331,54,B,30,78,92374,4,1,2,0,0,0,1,0,0
332,32,B,6,28,94115,3,1,1,0,0,0,0,0,0
333,59,A,33,42,95630,1,0.8,2,0,0,0,1,0,0
334,63,B,38,140,92407,1,2.5,1,0,0,0,0,0,0
335,,B,23,45,95053,1,1.3,2,0,0,0,1,0,0
336,56,B,32,122,95827,2,0.3,1,360,0,1,1,1,0
337,36,B,12,65,95051,3,2.6,2,0,0,0,1,0,0
338,57,A,27,68,94117,1,1.4,3,0,0,0,1,0,0
339,29,A,3,153,93657,2,2,1,392,0,0,0,0,0
340,39,B,13,89,92110,4,1.4,2,0,0,0,0,0,0
341,59,B,34,91,93524,1,2.6,1,0,0,0,1,1,0
342,31,A,6,55,92038,4,2,2,185,0,0,1,0,0
343,43,B,19,118,91304,2,3.3,1,0,0,0,0,1,0
344,35,B,5,22,93407,1,0.67,3,103,0,0,0,0,0
345,54,A,24,63,92606,3,1.4,3,138,0,0,1,1,0
346,51,A,27,12,92192,4,0.5,2,78,1,0,1,0,0
347,44,A,19,50,90745,3,2.7,2,0,0,0,1,0,0
348,25,A,0,43,94305,2,1.6,3,0,1,1,1,1,0
349,40,A,15,173,95060,4,6.6,1,0,0,1,1,1,1
350,26,A,2,60,93407,2,3,1,132,0,0,0,0,1
351,39,B,14,113,94301,1,1,3,0,1,0,1,0,0
352,28,B,4,155,92182,4,5.3,2,0,0,0,1,0,1
353,52,B,28,91,92692,4,1,2,0,0,0,0,1,0
354,53,B,29,55,95818,4,1.1,2,0,0,0,1,0,0
355,44,A,20,173,90277,2,1.4,1,419,0,0,1,0,0
356,43,A,19,71,92101,3,0.3,3,0,0,0,0,1,0
357,56,B,30,24,94704,2,0.4,3,88,0,0,0,0,0
358,38,B,14,42,94610,1,2,2,81,0,0,1,0,0
359,30,B,6,141,94539,2,4.33,1,0,0,0,1,0,0
360,32,A,6,32,93106,1,1.9,3,0,0,0,1,0,0
361,35,B,10,55,94539,4,1.3,1,0,0,0,0,0,0
362,43,B,19,153,90254,2,7.5,1,0,0,0,1,0,0
363,58,B,32,113,94590,2,1.4,1,270,0,0,0,1,0
364,25,A,0,30,92691,2,1.7,2,0,0,0,0,0,0
365,54,B,24,29,92028,3,1,3,148,0,0,0,1,0
366,57,B,32,174,90089,1,6.8,2,466,0,0,1,0,1
367,50,B,24,35,92717,1,0.3,3,0,0,0,1,0,0
368,32,A,8,98,95054,2,2,2,175,0,0,1,0,0
369,63,A,37,30,92054,2,1,3,159,0,0,1,0,0
370,31,B,6,58,95051,2,2.5,1,0,0,0,0,1,0
371,36,A,12,25,92101,4,1,1,147,0,0,0,0,0
372,58,A,34,19,92029,4,0.7,1,0,0,0,0,0,0
373,56,A,30,44,93105,4,0.7,2,174,0,0,1,0,0
374,49,B,25,20,90291,4,1,1,111,0,0,1,1,0
375,30,B,5,98,91941,2,3.1,1,220,0,0,1,0,0
376,33,B,7,90,92346,3,1.6,1,0,0,0,1,0,0
377,45,A,21,61,94304,3,0.7,1,0,0,0,0,0,0
378,30,A,5,40,94402,4,2,2,0,0,0,1,0,0
379,47,B,23,38,94618,2,2.1,3,0,0,0,0,0,0
380,25,A,0,28,92093,2,1.7,2,0,0,0,0,0,0
381,63,B,33,34,94305,1,1.5,3,0,0,0,1,1,0
382,55,B,29,73,95616,2,2.3,3,0,0,0,1,1,0
383,65,B,41,133,94904,4,2,1,0,0,0,0,1,1
384,,B,18,53,94608,1,0.2,1,0,0,0,1,0,0
385,51,B,25,21,9307,4,0.6,3,0,0,0,1,1,0
386,35,A,9,40,93943,3,0.9,1,0,0,0,1,0,0
387,30,A,5,41,95051,4,1.7,2,0,0,0,1,0,0
388,31,A,5,82,95482,4,1.8,2,0,0,0,1,0,0
389,54,B,30,100,95814,4,3.4,3,0,0,0,0,0,1
390,45,A,20,155,90024,1,7,1,0,0,0,1,1,0
391,45,A,19,45,92521,1,0.2,1,0,0,0,1,0,0
392,58,B,32,9,94080,3,0.3,3,0,0,0,0,1,0
393,54,A,29,48,91709,4,1.8,3,0,0,0,1,0,0
394,53,B,28,18,90095,4,0.1,3,109,1,1,1,1,0
395,33,A,9,80,91311,4,3.4,1,0,0,0,1,1,0
396,60,B,35,64,94509,2,2.8,1,0,0,0,0,0,0
397,50,B,24,29,93023,4,0.1,1,0,0,0,0,0,0
398,26,A,2,48,90503,3,0.7,2,0,0,0,1,0,0
399,54,A,30,23,94608,2,0.4,1,0,0,0,0,0,0
400,28,A,3,84,90024,4,0.2,1,0,0,0,1,1,0
401,36,A,10,179,94542,3,6.6,1,0,0,0,1,0,1
402,29,A,2,30,95747,4,1.5,2,112,0,0,0,1,0
403,54,A,28,93,91604,1,4.9,1,133,0,1,1,1,0
404,55,A,30,39,92647,2,1.9,2,0,0,0,0,0,0
405,61,B,36,60,92866,3,0.5,2,182,0,0,0,0,0
406,36,B,11,133,90245,1,3.8,1,290,1,1,1,1,0
407,45,A,19,125,92354,1,2.4,1,0,0,0,0,0,0
408,64,B,40,58,93437,1,1.8,3,0,0,0,1,0,0
409,60,B,36,89,91745,2,2.8,1,0,0,0,1,0,0
410,49,A,22,82,90019,1,2.67,2,125,0,0,1,0,0
411,47,A,23,110,94111,2,3.3,1,0,0,0,1,1,0
412,60,B,36,54,92182,4,2.3,3,0,1,0,0,0,0
413,45,A,20,89,93311,4,1.9,3,0,0,0,1,0,0
414,32,B,7,42,92407,3,2.3,1,0,0,0,1,0,0
415,52,A,28,41,94309,3,1.9,2,0,0,0,0,1,0
416,35,A,8,38,93106,4,1,2,124,0,0,1,0,0
417,40,B,15,85,94304,2,0.4,1,0,0,0,1,0,0
418,53,A,29,83,90073,4,1,2,0,0,0,1,0,0
419,27,B,0,33,90089,4,1,3,0,0,0,0,0,0
420,58,A,33,50,94501,4,2.1,1,0,0,0,0,1,0
421,47,A,22,58,93105,4,3.6,3,0,0,0,1,1,0
422,28,B,3,115,92333,4,3.1,2,0,0,0,0,0,1
423,46,A,20,145,91380,2,6.3,1,0,1,1,1,0,0
424,43,A,19,161,95616,2,7.5,1,0,0,0,0,0,0
